school,division,gender,jersey,name,position,class_year,height_in,hometown,major,club_team
Wake Forest,D1,M,4,Amoni Thomas,D,Jr,,"Edmonton, Canada",,
Wake Forest,D1,M,5,Daniel Krueger,D,Jr,73.0,"Philadelphia, Pa.",,
Wake Forest,D1,M,6,Lorenze Currie,D,So,75.0,"Courtice, Ontario",,
Wake Forest,D1,M,7,Nico Rabiu,M,Sr,70.0,"Schenectady, N.Y.",,
Wake Forest,D1,M,8,David Nguema,M,So,75.0,"Houston, Texas",,
Wake Forest,D1,M,9,Pariss Mitchell,F,So,72.0,"Ajax, Canada",,
Wake Forest,D1,M,11,Marcos Miranda,M,Jr,69.0,"Madrid, Spain",,
Wake Forest,D1,M,12,Jose Perez,M,Sr,68.0,"Antioch, Ill.",,
Wake Forest,D1,M,13,Jeffrey White,M,Sr,70.0,"Tampa, Fla.",,
Wake Forest,D1,M,14,Joby Reid,F,So,75.0,"Tauranga, N.Z.",,
Wake Forest,D1,M,16,Joel Torbic,M,Jr,72.0,"State College, Pa.",,
Wake Forest,D1,M,17,Pierce Bateson,M,Sr,69.0,"Madison, N.J.",,
Wake Forest,D1,M,18,Henry Rosenfeld,M,Fr,,"Morristown, N.J.",,
Wake Forest,D1,M,20,Alfred Debah,M,So,72.0,"Payneville, Liberia",,
Wake Forest,D1,M,21,Ethan Subachan,F,Sr,73.0,"Cooper City, Fla.",,
Wake Forest,D1,M,23,Chandler Young,M,So,74.0,"Brooklyn, N.Y.",,
Wake Forest,D1,M,24,Mason Sullivan,D,Jr,77.0,"West Roxbury, Mass.",,
Wake Forest,D1,M,25,Will Jackson,D,Jr,70.0,"Homewood, Ala.",,
Wake Forest,D1,M,27,Copeland Berkley,D,So,73.0,"Livingston, N.J.",,
Wake Forest,D1,M,30,Owen Barnett,GK,So,74.0,"Athens, Ga.",,
Wake Forest,D1,M,32,Tate Lorentz,M,Sr,71.0,"Winston-Salem, N.C.",,
Wake Forest,D1,M,33,Bret Russell,D,So,75.0,"Bingham Farms, Mich.",,
Wake Forest,D1,W,0,Lizzie Thornton,GK,So,74.0,"Purcellville, Va.",,
Wake Forest,D1,W,1,Valentina Amaral,GK,Jr,67.0,"Oviedo, Fla.",,
Wake Forest,D1,W,2,Amaya Dawkins,M,Jr,68.0,"Wylie, Texas",,
Wake Forest,D1,W,3,Adrianna Gonzalez,D,Fr,,"Boca Raton, Fla.",,
Wake Forest,D1,W,4,Tahlia Zadeyan,D,So,70.0,"San Diego, Calif.",,
Wake Forest,D1,W,5,MJ Osborne,F,Sr,64.0,"Los Altos Hills, Calif.",,
Wake Forest,D1,W,6,Dempsey Brown,M,Sr,67.0,"Winter Park, Fla.",,
Wake Forest,D1,W,7,Sofia Atehortua,M,So,62.0,"Trumbull, Conn.",,
Wake Forest,D1,W,8,Chloe Burst,F,Jr,65.0,"New Orleans, La.",,
Wake Forest,D1,W,9,Henley Tippins,F,Sr,,"Atlanta, Ga.",,
Wake Forest,D1,W,10,Riley Cross,M,So,68.0,"Chatham, N.J.",,
Wake Forest,D1,W,11,Taylor Maxwell,D,So,69.0,"Langhorne, Pa.",,
Wake Forest,D1,W,12,Aislynn Maguire,F,Fr,67.0,"Winston-Salem, N.C.",,
Wake Forest,D1,W,14,Lola Ressler,M,Jr,67.0,"Winter Garden, Fla.",,
Wake Forest,D1,W,15,Eva Forster,M,Fr,,"Raleigh, N.C.",,
Wake Forest,D1,W,16,Avery Fisher,M,Fr,,"Wilmington, N.C.",,
Wake Forest,D1,W,17,Natalia DiSora,D,Fr,,"Pittsburgh, Pa.",,
Wake Forest,D1,W,18,Allie Flanagan,F,So,70.0,"Round Hill, Va.",,
Wake Forest,D1,W,19,Sierra Sythe,D,Jr,65.0,"Long Beach, Calif.",,
Wake Forest,D1,W,21,Sammi Wiemann,D,Sr,66.0,"San Diego, Calif.",,
Wake Forest,D1,W,22,BraqElle Raisey,D,Fr,,"Frisco, Texas",,
Wake Forest,D1,W,24,Ava Reddy,M,Fr,,"Downingtown, Pa.",,
Wake Forest,D1,W,25,Simone Basey,D,Fr,,"Eastvale, Calif.",,
Wake Forest,D1,W,27,Alicia Meincke,M,Fr,64.0,"Ashburn, Va.",,
Wake Forest,D1,W,28,Kenslee Ward,GK,Fr,,"Boca Raton, Fla.",,
Wake Forest,D1,W,31,Kylie Maxwell,F,So,69.0,"Langhorne, Pa.",,
Wake Forest,D1,W,33,Kaitlyn Sasadeusz,F,Sr,68.0,"Lake Oswego, Ore,",,
Maryland,D1,M,2,Luke Burdett,M,Fr,72,"Woodstock, MD",Business and Management,
Maryland,D1,M,4,Jason Atakora,M,Fr,69,"Ashanti, Ghana",,
Maryland,D1,M,5,Ljubomir Popovic,D,Jr,74,"Wolfurt, Austria",,
Maryland,D1,M,6,Leon Koehl,M,Sr,74,"Cologne, Germany",Finance,
Maryland,D1,M,7,Antoine Coupland,F,Fr,69,"Chelsea, Quebec",,
Maryland,D1,M,8,Albi Ndrenika,M,Sr,70,"Olney, MD",Business Analytics,
Maryland,D1,M,10,Dominic Ayella,F,Jr,71,"Gulu, Uganda",,
Maryland,D1,M,14,Maxwell Sekyi,D,Fr,73,"Accra, Ghana",,
Maryland,D1,M,16,Zack Harris,M,Sr,72,"Agoura Hills, CA",,
Maryland,D1,M,17,Kenny Quist-Therson,M,Sr,74,"Ellicott City, MD",Finance,
